"","Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type"
"87","OR795436.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00758/2021","ssRNA(-)",15245,"complete","Germany",2021-10-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00758/2021, complete genome",2021,10,2021,43,2,"2021/2022","A"
"88","OR795437.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00766/2021","ssRNA(-)",15235,"complete","Germany",2021-10-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00766/2021, complete genome",2021,10,2021,42,4,"2021/2022","A"
"89","OR795438.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00774/2021","ssRNA(-)",15241,"complete","Germany",2021-10-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00774/2021, complete genome",2021,10,2021,42,6,"2021/2022","A"
"90","OR795439.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00857/2021","ssRNA(-)",15242,"complete","Germany",2021-10-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00857/2021, complete genome",2021,10,2021,43,3,"2021/2022","A"
"91","OR795440.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00939/2021","ssRNA(-)",15237,"complete","Germany",2021-10-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00939/2021, complete genome",2021,10,2021,43,3,"2021/2022","A"
"92","OR795441.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00946/2021","ssRNA(-)",15241,"complete","Germany",2021-10-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00946/2021, complete genome",2021,10,2021,43,3,"2021/2022","A"
"93","OR795442.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-00983/2021","ssRNA(-)",15260,"complete","Germany",2021-10-27,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00983/2021, complete genome",2021,10,2021,43,4,"2021/2022","A"
"94","OR795443.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01153/2021","ssRNA(-)",15250,"complete","Germany",2021-10-28,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01153/2021, complete genome",2021,10,2021,43,5,"2021/2022","A"
"95","OR795444.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01154/2021","ssRNA(-)",15274,"complete","Germany",2021-10-28,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01154/2021, complete genome",2021,10,2021,43,5,"2021/2022","A"
"96","OR795445.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01193/2021","ssRNA(-)",15231,"complete","Germany",2021-11-04,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01193/2021, complete genome",2021,11,2021,44,5,"2021/2022","A"
"97","OR795446.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01286/2021","ssRNA(-)",15228,"complete","Germany",2021-10-19,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01286/2021, complete genome",2021,10,2021,42,3,"2021/2022","A"
"98","OR795447.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01300/2021","ssRNA(-)",15237,"complete","Germany",2021-11-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01300/2021, complete genome",2021,11,2021,45,3,"2021/2022","A"
"99","OR795448.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01307/2021","ssRNA(-)",15235,"complete","Germany",2021-11-08,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01307/2021, complete genome",2021,11,2021,45,2,"2021/2022","A"
"100","OR795449.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01311/2021","ssRNA(-)",15235,"complete","Germany",2021-11-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01311/2021, complete genome",2021,11,2021,45,3,"2021/2022","A"
"101","OR795450.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01320/2021","ssRNA(-)",15268,"complete","Germany",2021-11-04,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01320/2021, complete genome",2021,11,2021,44,5,"2021/2022","A"
"102","OR795451.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01323/2021","ssRNA(-)",15053,"complete","Germany",2021-11-05,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01323/2021, complete genome",2021,11,2021,44,6,"2021/2022","A"
"103","OR795452.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01361/2021","ssRNA(-)",15265,"complete","Germany",2021-11-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01361/2021, complete genome",2021,11,2021,45,1,"2021/2022","A"
"104","OR795453.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01517/2021","ssRNA(-)",15259,"complete","Germany",2021-11-11,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01517/2021, complete genome",2021,11,2021,45,5,"2021/2022","A"
"105","OR795454.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01687/2021","ssRNA(-)",15259,"complete","Germany",2021-11-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01687/2021, complete genome",2021,11,2021,46,4,"2021/2022","A"
"106","OR795455.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01741/2021","ssRNA(-)",15231,"complete","Germany",2021-11-19,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01741/2021, complete genome",2021,11,2021,46,6,"2021/2022","A"
"107","OR795456.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01933/2021","ssRNA(-)",15235,"complete","Germany",2021-11-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01933/2021, complete genome",2021,11,2021,47,5,"2021/2022","A"
"108","OR795457.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01974/2021","ssRNA(-)",15129,"complete","Germany",2021-11-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01974/2021, complete genome",2021,11,2021,47,2,"2021/2022","A"
"109","OR795458.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-01987/2021","ssRNA(-)",15256,"complete","Germany",2021-11-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-01987/2021, complete genome",2021,11,2021,47,4,"2021/2022","A"
"110","OR795459.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02018/2021","ssRNA(-)",15243,"complete","Germany",2021-11-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02018/2021, complete genome",2021,11,2021,47,6,"2021/2022","A"
"111","OR795460.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02019/2021","ssRNA(-)",15019,"complete","Germany",2021-11-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02019/2021, complete genome",2021,11,2021,47,5,"2021/2022","A"
"112","OR795461.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02025/2021","ssRNA(-)",15229,"complete","Germany",2021-11-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02025/2021, complete genome",2021,11,2021,47,5,"2021/2022","A"
"113","OR795462.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02048/2021","ssRNA(-)",15228,"complete","Germany",2021-11-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02048/2021, complete genome",2021,11,2021,47,6,"2021/2022","A"
"114","OR795463.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02061/2021","ssRNA(-)",15228,"complete","Germany",2021-11-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02061/2021, complete genome",2021,11,2021,47,5,"2021/2022","A"
"115","OR795464.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02062/2021","ssRNA(-)",15228,"complete","Germany",2021-11-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02062/2021, complete genome",2021,11,2021,47,5,"2021/2022","A"
"116","OR795465.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02320/2021","ssRNA(-)",15240,"complete","Germany",2021-12-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02320/2021, complete genome",2021,12,2021,49,3,"2021/2022","A"
"117","OR795466.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02323/2021","ssRNA(-)",15093,"complete","Germany",2021-12-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02323/2021, complete genome",2021,12,2021,49,3,"2021/2022","A"
"118","OR795467.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02371/2021","ssRNA(-)",15247,"complete","Germany",2021-12-08,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02371/2021, complete genome",2021,12,2021,49,4,"2021/2022","A"
"119","OR795468.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02451/2021","ssRNA(-)",15233,"complete","Germany",2021-12-13,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02451/2021, complete genome",2021,12,2021,50,2,"2021/2022","A"
"120","OR795469.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02516/2021","ssRNA(-)",15272,"complete","Germany",2021-12-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02516/2021, complete genome",2021,12,2021,50,3,"2021/2022","A"
"121","OR795470.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-02775/2021","ssRNA(-)",15227,"complete","Germany",2021-12-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-02775/2021, complete genome",2021,12,2021,51,6,"2021/2022","A"
"122","OR795471.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/22-03065/2022","ssRNA(-)",15235,"complete","Germany",2022-01-10,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-03065/2022, complete genome",2022,1,2022,2,2,"2021/2022","A"
"123","OR795472.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-00282/2022","ssRNA(-)",15255,"complete","Germany",2022-10-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-00282/2022, complete genome",2022,10,2022,41,6,"2022/2023","A"
"124","OR795473.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-00435/2022","ssRNA(-)",15094,"complete","Germany",2022-10-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-00435/2022, complete genome",2022,10,2022,42,5,"2022/2023","A"
"125","OR795474.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-00712/2022","ssRNA(-)",15238,"complete","Germany",2022-11-03,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-00712/2022, complete genome",2022,11,2022,44,5,"2022/2023","A"
"126","OR795475.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-00760/2022","ssRNA(-)",15246,"complete","Germany",2022-11-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-00760/2022, complete genome",2022,11,2022,45,2,"2022/2023","A"
"127","OR795476.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-00870/2022","ssRNA(-)",15092,"complete","Germany",2022-11-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-00870/2022, complete genome",2022,11,2022,45,2,"2022/2023","A"
"128","OR795477.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-01059/2022","ssRNA(-)",15239,"complete","Germany",2022-11-15,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-01059/2022, complete genome",2022,11,2022,46,3,"2022/2023","A"
"129","OR795478.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-01354/2022","ssRNA(-)",15108,"complete","Germany",2022-11-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-01354/2022, complete genome",2022,11,2022,47,3,"2022/2023","A"
"130","OR795479.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-01795/2022","ssRNA(-)",15237,"complete","Germany",2022-11-28,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-01795/2022, complete genome",2022,11,2022,48,2,"2022/2023","A"
"131","OR795480.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-02209/2022","ssRNA(-)",15026,"complete","Germany",2022-12-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-02209/2022, complete genome",2022,12,2022,49,4,"2022/2023","A"
"132","OR795481.1","Human respiratory syncytial virus A","Robert Koch Institut","Germany","hRSV/A/Germany/23-02238/2022","ssRNA(-)",15238,"complete","Germany",2022-12-05,"Human respiratory syncytial virus A isolate hRSV/A/Germany/23-02238/2022, complete genome",2022,12,2022,49,2,"2022/2023","A"
"133","PP376272.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103023","ssRNA(-)",15228,"complete","Germany",2020-03-10,"Human respiratory syncytial virus A isolate 490103023, complete genome",2020,3,2020,11,3,"2019/2020","A"
"134","PP376289.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102036","ssRNA(-)",15113,"complete","Germany",2019-03-11,"Human respiratory syncytial virus A isolate 490102036, complete genome",2019,3,2019,11,2,"2018/2019","A"
"135","PP376296.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102002","ssRNA(-)",15222,"complete","Germany",2019-01-12,"Human respiratory syncytial virus A isolate 490102002, complete genome",2019,1,2019,2,7,"2018/2019","A"
"136","PP376340.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103026","ssRNA(-)",15228,"complete","Germany",2020-03-16,"Human respiratory syncytial virus A isolate 490103026, complete genome",2020,3,2020,12,2,"2019/2020","A"
"137","PP376358.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102023","ssRNA(-)",15223,"complete","Germany",2019-02-18,"Human respiratory syncytial virus A isolate 490102023, complete genome",2019,2,2019,8,2,"2018/2019","A"
"138","PP376362.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103028","ssRNA(-)",15201,"complete","Germany",2020-03-18,"Human respiratory syncytial virus A isolate 490103028, complete genome",2020,3,2020,12,4,"2019/2020","A"
"139","PP376403.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103020","ssRNA(-)",15230,"complete","Germany",2020-02-21,"Human respiratory syncytial virus A isolate 490103020, complete genome",2020,2,2020,8,6,"2019/2020","A"
"140","PP376414.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103029","ssRNA(-)",15223,"complete","Germany",2020-03-23,"Human respiratory syncytial virus A isolate 490103029, complete genome",2020,3,2020,13,2,"2019/2020","A"
"141","PP376422.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103016","ssRNA(-)",15230,"complete","Germany",2020-02-24,"Human respiratory syncytial virus A isolate 490103016, complete genome",2020,2,2020,9,2,"2019/2020","A"
"142","PP376423.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103015","ssRNA(-)",15223,"complete","Germany",2020-02-24,"Human respiratory syncytial virus A isolate 490103015, complete genome",2020,2,2020,9,2,"2019/2020","A"
"143","PP376431.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102029","ssRNA(-)",15223,"complete","Germany",2019-02-25,"Human respiratory syncytial virus A isolate 490102029, complete genome",2019,2,2019,9,2,"2018/2019","A"
"144","PP376457.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103031","ssRNA(-)",15222,"complete","Germany",2020-03-27,"Human respiratory syncytial virus A isolate 490103031, complete genome",2020,3,2020,13,6,"2019/2020","A"
"145","PP376483.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103007","ssRNA(-)",15220,"complete","Germany",2020-02-03,"Human respiratory syncytial virus A isolate 490103007, complete genome",2020,2,2020,6,2,"2019/2020","A"
"146","PP376525.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103008","ssRNA(-)",15224,"complete","Germany",2020-02-05,"Human respiratory syncytial virus A isolate 490103008, complete genome",2020,2,2020,6,4,"2019/2020","A"
"147","PP376527.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103001","ssRNA(-)",15228,"complete","Germany",2020-01-06,"Human respiratory syncytial virus A isolate 490103001, complete genome",2020,1,2020,2,2,"2019/2020","A"
"148","PP376554.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103009","ssRNA(-)",15230,"complete","Germany",2020-02-09,"Human respiratory syncytial virus A isolate 490103009, complete genome",2020,2,2020,7,1,"2019/2020","A"
"149","PP376564.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103003","ssRNA(-)",15219,"complete","Germany",2020-01-10,"Human respiratory syncytial virus A isolate 490103003, complete genome",2020,1,2020,2,6,"2019/2020","A"
"150","PP376568.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103010","ssRNA(-)",15228,"complete","Germany",2020-02-10,"Human respiratory syncytial virus A isolate 490103010, complete genome",2020,2,2020,7,2,"2019/2020","A"
"151","PP376571.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103022","ssRNA(-)",15228,"complete","Germany",2020-03-10,"Human respiratory syncytial virus A isolate 490103022, complete genome",2020,3,2020,11,3,"2019/2020","A"
"152","PP376585.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103024","ssRNA(-)",15228,"complete","Germany",2020-03-11,"Human respiratory syncytial virus A isolate 490103024, complete genome",2020,3,2020,11,4,"2019/2020","A"
"153","PP376595.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102018","ssRNA(-)",15223,"complete","Germany",2019-02-12,"Human respiratory syncytial virus A isolate 490102018, complete genome",2019,2,2019,7,3,"2018/2019","A"
"154","PP376596.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103018","ssRNA(-)",15219,"complete","Germany",2020-03-12,"Human respiratory syncytial virus A isolate 490103018, complete genome",2020,3,2020,11,5,"2019/2020","A"
"155","PP376615.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103012","ssRNA(-)",15222,"complete","Germany",2020-02-14,"Human respiratory syncytial virus A isolate 490103012, complete genome",2020,2,2020,7,6,"2019/2020","A"
"156","PP376616.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103014","ssRNA(-)",15222,"complete","Germany",2020-02-14,"Human respiratory syncytial virus A isolate 490103014, complete genome",2020,2,2020,7,6,"2019/2020","A"
"157","PP376625.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103019","ssRNA(-)",15223,"complete","Germany",2020-02-15,"Human respiratory syncytial virus A isolate 490103019, complete genome",2020,2,2020,7,7,"2019/2020","A"
"158","PP376637.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103025","ssRNA(-)",15223,"complete","Germany",2020-03-16,"Human respiratory syncytial virus A isolate 490103025, complete genome",2020,3,2020,12,2,"2019/2020","A"
"159","PP376639.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102008","ssRNA(-)",15223,"complete","Germany",2019-01-17,"Human respiratory syncytial virus A isolate 490102008, complete genome",2019,1,2019,3,5,"2018/2019","A"
"160","PP376646.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103027","ssRNA(-)",15228,"complete","Germany",2020-03-17,"Human respiratory syncytial virus A isolate 490103027, complete genome",2020,3,2020,12,3,"2019/2020","A"
"161","PP376657.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102024","ssRNA(-)",15203,"complete","Germany",2019-02-18,"Human respiratory syncytial virus A isolate 490102024, complete genome",2019,2,2019,8,2,"2018/2019","A"
"162","PP376684.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103004","ssRNA(-)",15221,"complete","Germany",2020-01-20,"Human respiratory syncytial virus A isolate 490103004, complete genome",2020,1,2020,4,2,"2019/2020","A"
"163","PP376714.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103032","ssRNA(-)",15228,"complete","Germany",2020-03-23,"Human respiratory syncytial virus A isolate 490103032, complete genome",2020,3,2020,13,2,"2019/2020","A"
"164","PP376767.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103005","ssRNA(-)",15224,"complete","Germany",2020-01-29,"Human respiratory syncytial virus A isolate 490103005, complete genome",2020,1,2020,5,4,"2019/2020","A"
"165","PP376782.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103006","ssRNA(-)",15227,"complete","Germany",2020-01-30,"Human respiratory syncytial virus A isolate 490103006, complete genome",2020,1,2020,5,5,"2019/2020","A"
"166","PP376785.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103033","ssRNA(-)",15223,"complete","Germany",2020-03-30,"Human respiratory syncytial virus A isolate 490103033, complete genome",2020,3,2020,14,2,"2019/2020","A"
"167","PP376789.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103035","ssRNA(-)",15197,"complete","Germany",2020-03-31,"Human respiratory syncytial virus A isolate 490103035, complete genome",2020,3,2020,14,3,"2019/2020","A"
"168","PP376797.1","Human respiratory syncytial virus A","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103017","ssRNA(-)",15230,"complete","Germany",2020-03-04,"Human respiratory syncytial virus A isolate 490103017, complete genome",2020,3,2020,10,4,"2019/2020","A"
"273","PP376861.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102033","ssRNA(-)",15223,"complete","Germany",2019-03-11,"Human respiratory syncytial virus B isolate 490102033, complete genome",2019,3,2019,11,2,"2018/2019","B"
"274","PP376867.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102003","ssRNA(-)",15222,"complete","Germany",2019-01-12,"Human respiratory syncytial virus B isolate 490102003, complete genome",2019,1,2019,2,7,"2018/2019","B"
"275","PP376886.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102001","ssRNA(-)",15222,"complete","Germany",2019-01-14,"Human respiratory syncytial virus B isolate 490102001, complete genome",2019,1,2019,3,2,"2018/2019","B"
"276","PP376907.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102006","ssRNA(-)",15222,"complete","Germany",2019-01-16,"Human respiratory syncytial virus B isolate 490102006, complete genome",2019,1,2019,3,4,"2018/2019","B"
"277","PP376908.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102005","ssRNA(-)",15222,"complete","Germany",2019-01-16,"Human respiratory syncytial virus B isolate 490102005, complete genome",2019,1,2019,3,4,"2018/2019","B"
"278","PP376960.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102015","ssRNA(-)",15222,"complete","Germany",2019-02-02,"Human respiratory syncytial virus B isolate 490102015, complete genome",2019,2,2019,5,7,"2018/2019","B"
"279","PP376985.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102009","ssRNA(-)",15223,"complete","Germany",2019-01-21,"Human respiratory syncytial virus B isolate 490102009, complete genome",2019,1,2019,4,2,"2018/2019","B"
"280","PP376996.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102030","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102030, complete genome",2019,2,2019,8,6,"2018/2019","B"
"281","PP376997.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102028","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102028, complete genome",2019,2,2019,8,6,"2018/2019","B"
"282","PP376998.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102027","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102027, complete genome",2019,2,2019,8,6,"2018/2019","B"
"283","PP377026.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102019","ssRNA(-)",15222,"complete","Germany",2019-01-25,"Human respiratory syncytial virus B isolate 490102019, complete genome",2019,1,2019,4,6,"2018/2019","B"
"284","PP377029.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102037","ssRNA(-)",15223,"complete","Germany",2019-03-25,"Human respiratory syncytial virus B isolate 490102037, complete genome",2019,3,2019,13,2,"2018/2019","B"
"285","PP377040.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103021","ssRNA(-)",15223,"complete","Germany",2020-02-26,"Human respiratory syncytial virus B isolate 490103021, complete genome",2020,2,2020,9,4,"2019/2020","B"
"286","PP377052.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102031","ssRNA(-)",15222,"complete","Germany",2019-02-27,"Human respiratory syncytial virus B isolate 490102031, complete genome",2019,2,2019,9,4,"2018/2019","B"
"287","PP377086.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102013","ssRNA(-)",15223,"complete","Germany",2019-01-30,"Human respiratory syncytial virus B isolate 490102013, complete genome",2019,1,2019,5,4,"2018/2019","B"
"288","PP377115.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102016","ssRNA(-)",15222,"complete","Germany",2019-02-05,"Human respiratory syncytial virus B isolate 490102016, complete genome",2019,2,2019,6,3,"2018/2019","B"
"289","PP377134.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102032","ssRNA(-)",15223,"complete","Germany",2019-03-07,"Human respiratory syncytial virus B isolate 490102032, complete genome",2019,3,2019,10,5,"2018/2019","B"
